# IR (EU) 2025/2621 — DVs as adopted v2026-02-04 (India sheet)
# source: DVs as adopted_v20260204 .xlsx
id,section,cn_display,cn_norm,description,direct,indirect,total,marked_2026,marked_2027,marked_2028,markup_2026_pct,route_marker
7221-132,Iron & Steel,7221,7221,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils",6.48,,6.48,7.128,7.776,8.424,10,
722211-133,Iron & Steel,7222 11,722211,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of circular cross-section",6.48,,6.48,7.128,7.776,8.424,10,
722219-134,Iron & Steel,7222 19,722219,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only extruded (excl. of circular cross-section)",6.48,,6.48,7.128,7.776,8.424,10,
722220-135,Iron & Steel,7222 20,722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",6.48,,6.48,7.128,7.776,8.424,10,
722230-136,Iron & Steel,7222 30,722230,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or not further worked than forged, or forged, or hot-formed by other means and further worked, n.e.s.",6.53,,6.53,7.183,7.836,8.489,10,
722240-137,Iron & Steel,7222 40,722240,"Angles, shapes and sections of stainless steel, n.e.s.",6.48,,6.48,7.128,7.776,8.424,10,
722300-138,Iron & Steel,7223 00,722300,"Wire of stainless steel, in coils (excl. bars and rods)",6.48,,6.48,7.128,7.776,8.424,10,
722410-139,Iron & Steel,7224 10,722410,"Steel, alloy, other than stainless, in ingots or other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting)",7.35,,7.35,8.085,8.82,9.555,10,(F)
72249002-140,Iron & Steel,7224 90 02,72249002,Semi-finished products of tool steel,7.32,,7.32,8.052,8.784,9.516,10,(F)
72249003-141,Iron & Steel,7224 90 03,72249003,"Semi-finished products of high-speed steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting the width measuring < twice the thickness",7.32,,7.32,8.052,8.784,9.516,10,(F)
72249005-142,Iron & Steel,7224 90 05,72249005,"Semi-finished products of steel containing by weight <= 0,7% of carbon, 0,5% to 1,2% of manganese, 0,6% to 2,3% of silicon, or of steel containing by weight >= 0,0008% of boron with any other element < the minimum content referred to in Note 1 f to chapter 72, of square or rectangular cross-section, hot rolled or obtained by continuous casting, the width measuring < twice the thickness",7.32,,7.32,8.052,8.784,9.516,10,(F)
72249007-143,Iron & Steel,7224 90 07,72249007,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring < twice the thickness (excl. of tool steel, high-speed steel and articles of subheading 7224.90.05)",7.32,,7.32,8.052,8.784,9.516,10,(F)
72249014-144,Iron & Steel,7224 90 14,72249014,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring >= twice the thickness (excl. of tool steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
72249018-145,Iron & Steel,7224 90 18,72249018,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, forged (excl. of tool steel)",7.35,,7.35,8.085,8.82,9.555,10,(F)
72249031-146,Iron & Steel,7224 90 31,72249031,"Semi-finished products of steel containing by weight 0,9% to 1,15% carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting",7.32,,7.32,8.052,8.784,9.516,10,(F)
72249038-147,Iron & Steel,7224 90 38,72249038,"Semi-finished products of alloy steel, other than stainless steel, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting (excl. of tool steel and products containing by weight 0,9% to 1,15% of carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum)",7.32,,7.32,8.052,8.784,9.516,10,(F)
72249090-148,Iron & Steel,7224 90 90,72249090,"Semi-finished products of alloy steel, other than stainless steel, forged (excl. of tool steel and products of square or rectangular, circular or polygamol cross-section)",7.35,,7.35,8.085,8.82,9.555,10,(F)
72251100-149,Iron & Steel,7225 11 00,72251100,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",8.58,,8.58,9.438,10.296,11.154,10,(C)
72251910-150,Iron & Steel,7225 19 10,72251910,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, hot-rolled",7.32,,7.32,8.052,8.784,9.516,10,(C)
72251990-151,Iron & Steel,7225 19 90,72251990,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", non-grain-oriented",7.32,,7.32,8.052,8.784,9.516,10,(F)
722530-152,Iron & Steel,7225 30,722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, in coils (excl. products of silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
722540-153,Iron & Steel,7225 40,722540,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, not in coils (excl. products of silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
722550-154,Iron & Steel,7225 50,722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
72259100-155,Iron & Steel,7225 91 00,72259100,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and electrolytically plated or coated with zinc (excl. products of silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
72259200-156,Iron & Steel,7225 92 00,72259200,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
72259900-157,Iron & Steel,7225 99 00,72259900,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. plated or coated with zinc and products of silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
72261100-158,Iron & Steel,7226 11 00,72261100,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", grain-oriented",8.58,,8.58,9.438,10.296,11.154,10,(C)
72261910-159,Iron & Steel,7226 19 10,72261910,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, not further worked than hot-rolled",7.32,,7.32,8.052,8.784,9.516,10,(C)
72261980-160,Iron & Steel,7226 19 80,72261980,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, cold-rolled ""cold-reduced"", whether or not further worked, or hot-rolled and further worked, non-grain-oriented",7.32,,7.32,8.052,8.784,9.516,10,(F)
72262000-161,Iron & Steel,7226 20 00,72262000,"Flat-rolled products of high-speed steel, of a width of <= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",7.32,,7.32,8.052,8.784,9.516,10,(F)
722691-162,Iron & Steel,7226 91,722691,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than hot-rolled (excl. products of high-speed steel or silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
72269200-163,Iron & Steel,7226 92 00,72269200,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of high-speed steel or silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
722699-164,Iron & Steel,7226 99,722699,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. products of high-speed steel or silicon-electrical steel)",7.32,,7.32,8.052,8.784,9.516,10,(F)
7227-165,Iron & Steel,7227,7227,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils",7.3,,7.3,8.03,8.76,9.49,10,(C)/(F)
72281020-166,Iron & Steel,7228 10 20,72281020,"Bars and rods of high-speed steel, not further worked than hot-rolled, hot-drawn or extruded, and hot-rolled, hot-drawn or extruded, not further worked than clad (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",7.3,,7.3,8.03,8.76,9.49,10,(F)
72281050-167,Iron & Steel,7228 10 50,72281050,"Bars and rods of high-speed steel, forged (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",7.35,,7.35,8.085,8.82,9.555,10,(F)
72281090-168,Iron & Steel,7228 10 90,72281090,"Bars and rods of high-speed steel, not further worked than cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked (excl. forged products, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",7.3,,7.3,8.03,8.76,9.49,10,(F)
722820-169,Iron & Steel,7228 20,722820,"Bars and rods of silico-manganese steel (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",7.3,,7.3,8.03,8.76,9.49,10,(F)
722830-170,Iron & Steel,7228 30,722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn or extruded (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",7.3,,7.3,8.03,8.76,9.49,10,(C)/(F)
722840-171,Iron & Steel,7228 40,722840,"Bars and rods of alloy steel other than stainless, not further worked than forged (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",7.35,,7.35,8.085,8.82,9.555,10,(F)
722850-172,Iron & Steel,7228 50,722850,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",7.3,,7.3,8.03,8.76,9.49,10,(C)/(F)
722860-173,Iron & Steel,7228 60,722860,"Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further worked or hot-formed and further worked, n.e.s. (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",7.3,,7.3,8.03,8.76,9.49,10,(F)
722870-174,Iron & Steel,7228 70,722870,"Angles, shapes and sections of alloy steel other than stainless, n.e.s.",7.3,,7.3,8.03,8.76,9.49,10,(F)
72288000-175,Iron & Steel,7228 80 00,72288000,"Hollow drill bars and rods, of alloy or non-alloy steel",7.3,,7.3,8.03,8.76,9.49,10,(F)
7229-176,Iron & Steel,7229,7229,"Wire of alloy steel other than stainless, in coils (excl. bars and rods)",7.3,,7.3,8.03,8.76,9.49,10,(C)/(F)
7301-177,Iron & Steel,7301,7301,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel",4.3,,4.3,4.73,5.16,5.59,10,(C)
7302-178,Iron & Steel,7302,7302,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers ""cross-ties"", fish-plates, chairs, chair wedges, sole plates ""base plates"", rail clips, bedplates, ties and other material specialised for jointing or fixing rails",5.45,,5.45,5.995,6.54,7.085,10,(C)
730300-179,Iron & Steel,7303 00,730300,"Tubes, pipes and hollow profiles, of cast iron",2.84,,2.84,3.124,3.408,3.692,10,
73041100-180,Iron & Steel,7304 11 00,73041100,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel",6.49,,6.49,7.139,7.788,8.437,10,
730419-181,Iron & Steel,7304 19,730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excl. products of stainless steel or of cast iron)",4.32,,4.32,4.752,5.184,5.616,10,(C)
73042200-182,Iron & Steel,7304 22 00,73042200,"Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas",6.49,,6.49,7.139,7.788,8.437,10,
73042300-183,Iron & Steel,7304 23 00,73042300,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excl. products of stainless steel or of cast iron)",4.32,,4.32,4.752,5.184,5.616,10,(C)
73042400-184,Iron & Steel,7304 24 00,73042400,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",6.49,,6.49,7.139,7.788,8.437,10,
730429-185,Iron & Steel,7304 29,730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excl. products of cast iron)",4.32,,4.32,4.752,5.184,5.616,10,(C)
730431-186,Iron & Steel,7304 31,730431,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used for drilling for oil or gas)",4.32,,4.32,4.752,5.184,5.616,10,(C)
730439-187,Iron & Steel,7304 39,730439,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products, line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)",4.32,,4.32,4.752,5.184,5.616,10,(C)
73044100-188,Iron & Steel,7304 41 00,73044100,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)",6.49,,6.49,7.139,7.788,8.437,10,
730449-189,Iron & Steel,7304 49,730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas)",6.49,,6.49,7.139,7.788,8.437,10,
730451-190,Iron & Steel,7304 51,730451,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)",4.32,,4.32,4.752,5.184,5.616,10,(F)
730459-191,Iron & Steel,7304 59,730459,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)",4.32,,4.32,4.752,5.184,5.616,10,(C)/(F)
73049000-192,Iron & Steel,7304 90 00,73049000,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel (excl. products of cast iron)",4.32,,4.32,4.752,5.184,5.616,10,(C)
7305-193,Iron & Steel,7305,7305,"Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed""",4.32,,4.32,4.752,5.184,5.616,10,(C)
73061100-194,Iron & Steel,7306 11 00,73061100,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm",6.5,,6.5,7.15,7.8,8.45,10,
73061900-195,Iron & Steel,7306 19 00,73061900,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)",4.32,,4.32,4.752,5.184,5.616,10,(C)
73062100-196,Iron & Steel,7306 21 00,73062100,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm",6.5,,6.5,7.15,7.8,8.45,10,
73062900-197,Iron & Steel,7306 29 00,73062900,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)",4.32,,4.32,4.752,5.184,5.616,10,(C)
73063012-198,Iron & Steel,7306 30 12,73063012,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced""",4.32,,4.32,4.752,5.184,5.616,10,(C)
73063018-199,Iron & Steel,7306 30 18,73063018,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel (excl. cold-drawn or cold-rolled)",4.32,,4.32,4.752,5.184,5.616,10,
73063041-200,Iron & Steel,7306 30 41,73063041,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel, plated or coated with zinc",4.32,,4.32,4.752,5.184,5.616,10,(C)
73063049-201,Iron & Steel,7306 30 49,73063049,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel (excl. products plated or coated with zinc)",4.32,,4.32,4.752,5.184,5.616,10,(C)
73063072-202,Iron & Steel,7306 30 72,73063072,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel, of an external diameter of <= 168,3 mm, plated or coated with zinc (excl. line pipe of a kind used for oil or gas pipelines or casing and tubingof a kind used in drilling for oil or gas)",4.32,,4.32,4.752,5.184,5.616,10,(C)
73063077-203,Iron & Steel,7306 30 77,73063077,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel of an external diameter of <= 168,3 mm (excl. plated or coated with zinc and line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used in drilling for oil or gas, precision tubes and threaded or threadable tubes ""gas pipe"")",4.32,,4.32,4.752,5.184,5.616,10,(C)
73063080-204,Iron & Steel,7306 30 80,73063080,"Tubes, pipes and hollow profiles, welded, having a circular cross-section, of iron or steel, of an external diameter of > 168,3 mm but <= 406,4 mm (excl. line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, or precision steel tubes, electrical conduit tubes or threaded or threadable tubes ""gas pipe"")",4.32,,4.32,4.752,5.184,5.616,10,(C)
73064020-205,Iron & Steel,7306 40 20,73064020,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. products having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)",6.5,,6.5,7.15,7.8,8.45,10,
73064080-206,Iron & Steel,7306 40 80,73064080,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excl. products cold-drawn or cold-rolled ""cold-reduced"", tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)",6.49,,6.49,7.139,7.788,8.437,10,
73065021-207,Iron & Steel,7306 50 21,73065021,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced""",4.33,,4.33,4.763,5.196,5.629,10,(F)
73065029-208,Iron & Steel,7306 50 29,73065029,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless (excl. cold-drawn or cold-rolled)",4.32,,4.32,4.752,5.184,5.616,10,(F)
73065080-209,Iron & Steel,7306 50 80,73065080,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than stainless (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and precision steel tubes)",4.33,,4.33,4.763,5.196,5.629,10,(F)
73066110-210,Iron & Steel,7306 61 10,73066110,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of stainless steel",6.5,,6.5,7.15,7.8,8.45,10,
73066192-211,Iron & Steel,7306 61 92,73066192,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of <= 2 mm",4.32,,4.32,4.752,5.184,5.616,10,(C)
73066199-212,Iron & Steel,7306 61 99,73066199,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of > 2 mm",4.32,,4.32,4.752,5.184,5.616,10,(C)
73066910-213,Iron & Steel,7306 69 10,73066910,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)",6.5,,6.5,7.15,7.8,8.45,10,
73066990-214,Iron & Steel,7306 69 90,73066990,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel other than stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)",4.32,,4.32,4.752,5.184,5.616,10,(C)
73069000-215,Iron & Steel,7306 90 00,73069000,"Tubes, pipes and hollow profiles ""e.g., open seam, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless or welded tubes and pipes and tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm)",4.32,,4.32,4.752,5.184,5.616,10,(C)
730711-216,Iron & Steel,7307 11,730711,Tube or pipe fittings of non-malleable cast iron,3.8592,,3.8592,4.2451,4.631,5.017,10,
73071910-217,Iron & Steel,7307 19 10,73071910,Tube or pipe fittings of cast iron (excl. of non-malleable),3.8592,,3.8592,4.2451,4.631,5.017,10,
73071990-218,Iron & Steel,7307 19 90,73071990,Cast tube or pipe fittings of steel,4.32,,4.32,4.752,5.184,5.616,10,(C)
73072100-219,Iron & Steel,7307 21 00,73072100,Flanges of stainless steel (excl. cast products),4.81,,4.81,5.291,5.772,6.253,10,
730722-220,Iron & Steel,7307 22,730722,"Threaded elbows, bends and sleeves of stainless steel (excl. cast products)",4.81,,4.81,5.291,5.772,6.253,10,
730723-221,Iron & Steel,7307 23,730723,Butt welding tube or pipe fittings of stainless steel (excl. cast products),4.81,,4.81,5.291,5.772,6.253,10,
730729-222,Iron & Steel,7307 29,730729,"Tube or pipe fittings of stainless steel (excl. cast products, flanges, threaded elbows, bends and sleeves and butt weldings fittings)",4.81,,4.81,5.291,5.772,6.253,10,
73079100-223,Iron & Steel,7307 91 00,73079100,Flanges of iron or steel (excl. cast or stainless products),4.28,,4.28,4.708,5.136,5.564,10,(C)
730792-224,Iron & Steel,7307 92,730792,"Threaded elbows, bends and sleeves, of stainless steel (excl. cast or stainless products)",4.28,,4.28,4.708,5.136,5.564,10,(C)
730793-225,Iron & Steel,7307 93,730793,"Butt welding fittings of iron or steel (excl. cast iron or stainless steel products, and flanges)",4.28,,4.28,4.708,5.136,5.564,10,(C)
730799-226,Iron & Steel,7307 99,730799,"Tube or pipe fittings, of iron or steel (excl. cast iron or stainless steel products; flanges; threaded elbows, bends and sleeves; butt welding fittings)",4.28,,4.28,4.708,5.136,5.564,10,(C)
7308-227,Iron & Steel,7308,7308,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",5.93,,5.93,6.523,7.116,7.709,10,(C)
7309-228,Iron & Steel,7309,7309,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of > 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated (excl. containers specifically constructed or equipped for one or more types of transport)",6.65,,6.65,7.315,7.98,8.645,10,(C)
7310-229,Iron & Steel,7310,7310,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of <= 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated, n.e.s.",4.31,,4.31,4.741,5.172,5.603,10,(C)
731100-230,Iron & Steel,7311 00,731100,"Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)",6.64,,6.64,7.304,7.968,8.632,10,(C)
73181100-231,Iron & Steel,7318 11 00,73181100,Coach screws of iron or steel,4.27,,4.27,4.697,5.124,5.551,10,(C)
73181210-232,Iron & Steel,7318 12 10,73181210,Wood screws of stainless steel (excl. coach screws),5.77,,5.77,6.347,6.924,7.501,10,(C)
73181290-233,Iron & Steel,7318 12 90,73181290,Wood screws of iron or steel other than stainless (excl. coach screws),4.27,,4.27,4.697,5.124,5.551,10,(C)
73181300-234,Iron & Steel,7318 13 00,73181300,"Screw hooks and screw rings, of iron or steel",4.27,,4.27,4.697,5.124,5.551,10,(C)
73181410-235,Iron & Steel,7318 14 10,73181410,"Self-tapping screws, of stainless steel (excl. wood screws)",5.77,,5.77,6.347,6.924,7.501,10,(C)
73181491-236,Iron & Steel,7318 14 91,73181491,Spaced-thread screws of iron or steel other than stainless,4.27,,4.27,4.697,5.124,5.551,10,(C)
73181499-237,Iron & Steel,7318 14 99,73181499,Self-tapping screws of iron or steel other than stainless (excl. spaced-thread screws and wood screws),4.27,,4.27,4.697,5.124,5.551,10,(C)
731815-238,Iron & Steel,7318 15,731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. coach screws and other wood screws, screw hooks and screw rings, self-tapping screws, lag screws, stoppers, plugs and the like, threaded)",5.72,,5.72,6.292,6.864,7.436,10,(C)
731816-239,Iron & Steel,7318 16,731816,Nuts of iron or steel,5.14,,5.14,5.654,6.168,6.682,10,(C)
73181900-240,Iron & Steel,7318 19 00,73181900,"Threaded articles, of iron or steel, n.e.s.",4.27,,4.27,4.697,5.124,5.551,10,(C)
73182100-241,Iron & Steel,7318 21 00,73182100,"Spring washers and other lock washers, of iron or steel",4.27,,4.27,4.697,5.124,5.551,10,(C)
73182200-242,Iron & Steel,7318 22 00,73182200,Washers of iron or steel (excl. spring washers and other lock washers),5.14,,5.14,5.654,6.168,6.682,10,(C)
73182300-243,Iron & Steel,7318 23 00,73182300,Rivets of iron or steel (excl. tubular and bifurcated rivets for particular uses),4.28,,4.28,4.708,5.136,5.564,10,(C)
73182400-244,Iron & Steel,7318 24 00,73182400,"Cotters and cotter pins, of iron or steel",4.27,,4.27,4.697,5.124,5.551,10,(C)
73182900-245,Iron & Steel,7318 29 00,73182900,"Non-threaded articles, of iron or steel",4.27,,4.27,4.697,5.124,5.551,10,(C)
73261100-246,Iron & Steel,7326 11 00,73261100,"Grinding balls and similar articles for mills, of iron or steel, forged or stamped, but not further worked",4.91,,4.91,5.401,5.892,6.383,10,(C)
732619-247,Iron & Steel,7326 19,732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excl. grinding balls and similar articles for mills)",4.91,,4.91,5.401,5.892,6.383,10,(C)
73262000-248,Iron & Steel,7326 20 00,73262000,"Articles of iron or steel wire, n.e.s.",4.91,,4.91,5.401,5.892,6.383,10,(C)
73269030-249,Iron & Steel,7326 90 30,73269030,"Ladders and steps, of iron or steel",4.91,,4.91,5.401,5.892,6.383,10,(C)
73269040-250,Iron & Steel,7326 90 40,73269040,"Pallets and similar platforms for handling goods, of iron or steel",4.91,,4.91,5.401,5.892,6.383,10,(C)
73269050-251,Iron & Steel,7326 90 50,73269050,"Reels for cables, piping and the like, of iron or steel",4.91,,4.91,5.401,5.892,6.383,10,(C)
73269060-252,Iron & Steel,7326 90 60,73269060,"Ventilators, non-mechanical, guttering, hooks and like articles used in the building industry, n.e.s., of iron or steel",4.91,,4.91,5.401,5.892,6.383,10,(C)
73269092-253,Iron & Steel,7326 90 92,73269092,"Articles of iron or steel, open-die forged, n.e.s.",4.91,,4.91,5.401,5.892,6.383,10,(C)
73269094-254,Iron & Steel,7326 90 94,73269094,"Articles of iron or steel, closed-die forged, n.e.s.",4.91,,4.91,5.401,5.892,6.383,10,(C)
73269096-255,Iron & Steel,7326 90 96,73269096,"Sintered articles of iron or steel, n.e.s.",4.91,,4.91,5.401,5.892,6.383,10,(C)
73269098-256,Iron & Steel,7326 90 98,73269098,"Articles of iron or steel, n.e.s.",4.91,,4.91,5.401,5.892,6.383,10,(C)
